user_id capacity sessions
1328 12-mbps 5
1329 12-mbps 8
1330 12-mbps 57
1331 12-mbps 173
1332 12-mbps 12
1333 12-mbps 57
1334 12-mbps 18
1335 12-mbps 28
1336 12-mbps 152
1337 12-mbps 1
1338 12-mbps 2
1339 12-mbps 2
1340 12-mbps 111
1341 12-mbps 1
1342 12-mbps 3
1343 12-mbps 34
1344 12-mbps 149
1345 12-mbps 2
1346 12-mbps 47
1347 12-mbps 102
1348 12-mbps 2
1349 12-mbps 73
1350 12-mbps 7
1351 12-mbps 43
1352 12-mbps 49
1353 12-mbps 7
1354 12-mbps 74
1355 12-mbps 33
1356 12-mbps 1
1357 12-mbps 152
1358 12-mbps 2
1359 12-mbps 44
